nombre,isla,cuenca,barranco,cotaMuro,altura,capacidad,volumenMaximo,tipo,municipio,fuente
Chira,Gran Canaria,Bco. Arguineguín,Chira,907,32,5640000,5640000,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Ayagaures,Gran Canaria,Bco. Maspalomas,Ayagaures,311,40,1848000,1848000,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Gambuesa,Gran Canaria,,,,42,1348000,1348000,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Candelaria,Gran Canaria,,,,25,396000,396000,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Fataga,Gran Canaria,Bco. Maspalomas,Fataga,485,32,327000,327000,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Vaquero,Gran Canaria,,,,35,216000,216000,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Mulato,Gran Canaria,Bco. Mogán,Vinagreras,745,35,750000,750000,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Pintor,Gran Canaria,Tenoya-Guiniguada,Tamaraceite,305,30,471012,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
La Umbría,Gran Canaria,Tenoya-Guiniguada,Castillejos,571,24,623043,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Piletas,Gran Canaria,Tenoya-Guiniguada,Piletas,230,24,342000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Tamaraceite,Gran Canaria,Tenoya-Guiniguada,Tamaraceite,391,16,60000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Tenoya I,Gran Canaria,Tenoya-Guiniguada,Los Barranquillos,246,25,98000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Tenoya II,Gran Canaria,Tenoya-Guiniguada,Tenoya,260,25,34000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Ariñes,Gran Canaria,Bco. Guiniguada,Del Conde,1.005,42,500000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Piquillo,Gran Canaria,Bco. Guiniguada,Del Horno,804,15.5,72000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Gañarías,Gran Canaria,Bco. Guiniguada,Antona,1.1,28,138240,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
La Lechucilla,Gran Canaria,Bco. Guiniguada,La Lechucilla,1.295,38,108908,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
La Siberia,Gran Canaria,Bco. Guiniguada,Maipez,1.335,16,175000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Santa Brigida,Gran Canaria,Bco. Guiniguada,Guiniguada,560,20,86000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Satautejo,Gran Canaria,Bco. Guiniguada,Las Manzaneras,450,20,107240,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Toronjo,Gran Canaria,Bco. Guiniguada,Toronjo,729,17,48710,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Sabinal,Gran Canaria,Guiniguada-Telde,Hoya Parral,115,20,90200,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Salvaindia,Gran Canaria,Bco. Telde,Hoyas de Manrique,360,16,70000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Barranco Hondo y Cuevas Blancas,Gran Canaria,Tirajana,Bco. Hondo,625,45,504900,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Cuevas Blancas,Gran Canaria,Tirajana,Cuevas Blancas,1.65,16,424000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Tirajana,Gran Canaria,Tirajana,Tirajana,400,44,3105000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Cabrera,Gran Canaria,Tirajana-Maspalomas,Los Guinchos,366,15,12000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
La monta,Gran Canaria,Tirajana-Maspalomas,Majadillas,75,31,664425,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Chamoriscán,Gran Canaria,Bco. Maspalomas,Chamoriscán,260,35,1440000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Don Bruno,Gran Canaria,Bco. Maspalomas,El Tosquial,155,20,10000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
La Gambuesa,Gran Canaria,Bco. Maspalomas,Ayagaures,350,42,1240000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Lomo Gordo,Gran Canaria,Bco. Maspalomas,Lomo Gordo,149,12,108000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Lomo Perera,Gran Canaria,Bco. Maspalomas,Cañada Honda,105,15,326880,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Los Betancores,Gran Canaria,Bco. Maspalomas,El Negro,109,14,125000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Los Jorges,Gran Canaria,Bco. Maspalomas,Hoya Fria,224,15,423985,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Cueva de las Niñas,Gran Canaria,Bco. Arguineguín,Majada Alta,890,31,5180820,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Excusabarajas,Gran Canaria,Bco. Arguineguín,Excusabarajas,750,15,39235,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Soria,Gran Canaria,Bco. Arguineguín,Soria,610,35,32300000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Caldero de la Niña,Gran Canaria,Bco. La Aldea,Siberio,206,46,2030000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Parralillo,Gran Canaria,Bco. La Aldea,Grande,347,57,4592000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
La Candelaria,Gran Canaria,Bco. La Aldea,Del Merino,920,26,310000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Los Hornos,Gran Canaria,Bco. La Aldea,Los Hornos,1.565,27,697000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Siberio,Gran Canaria,Bco. La Aldea,Siberio,277,27,4800000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Vaquero,Gran Canaria,La Aldea-Agaete,El Vaquero,866,40,364041,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Las Hoyas,Gran Canaria,Bco. Agaete,Las Hoyas,903,40,1013298,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Las Tierras de Manuel,Gran Canaria,Bco. Agaete,Agaete,484,22,86175,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Los Pérez,Gran Canaria,Bco. Agaete,Hondo,820,45,1701986,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Lugarejos,Gran Canaria,Bco. Agaete,La Coruña,860,40,1186150,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Tamadaba,Gran Canaria,Bco. Agaete,Los Ancones,1.03,19,88000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Barranco Hondo-Parrales,Gran Canaria,Agaete-Gáldar,Hondo,290,25,167000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Draguillo,Gran Canaria,Agaete-Gáldar,Del Draguillo,85,20,292000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El capitán,Gran Canaria,Bco. Gáldar,Del Conde,335,29,113345,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Cardoso,Gran Canaria,Bco. Gáldar,El Conde,262,18,10228,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Las Garzas,Gran Canaria,Bco. Gáldar,Las Garzas,260,32,612000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Barranco Hondo,Gran Canaria,Gáldar-Moya,Hondo,190,25,142000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Calabozo,Gran Canaria,Gáldar-Moya,Calabozo,421,30,300000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Hormiguero,Gran Canaria,Gáldar-Moya,Hormiguero,225,16,45000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Valerón,Gran Canaria,Gáldar-Moya,Valerón,205,25,134188,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Los Mondragones,Gran Canaria,Bco. Moya,El Brezal,425,36,475000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Cabo Verde,Gran Canaria,Moya-Azuaje,Lomo Blanco,195,15,40620,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Los Caiderillos,Gran Canaria,Moya-Azuaje,Calderillos,270,21,37060,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Casas Blancas,Gran Canaria,Azuaje-Tenoya,Rosales,240,19,164177,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Callejón,Gran Canaria,Azuaje-Tenoya,Del Callejón,410,24,186755,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Cortijo,Gran Canaria,Azuaje-Tenoya,De los Dolores,290,20,56000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Palmito,Gran Canaria,Azuaje-Tenoya,Palmito,225,32,250000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Pinto I,Gran Canaria,Azuaje-Tenoya,Pinto,260,27,470000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
El Pinto II,Gran Canaria,Azuaje-Tenoya,Pinto,290,32,124416,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
La Vistilla-Los Rosales,Gran Canaria,Azuaje-Tenoya,Rosales,266,24,67000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Los Dolores-Casablanca,Gran Canaria,Azuaje-Tenoya,Los Dolores,185,32,168915,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Los Jiménez-Arucas,Gran Canaria,Azuaje-Tenoya,Jiménez,375,40,417000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Lezcano I,Gran Canaria,Bco. Tenoya,Lezcano,290,24,172000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php
Lezcano II,Gran Canaria,Bco. Tenoya,Lezcano,317,35,600000,,,,https://www.aguasgrancanaria.com/presas/ubicacion_presas.php